Country,Adult_males_2014,Adult_females_2014
Gabon,33.9 [24.7-44.3],45.5 [37.1-54.3]
Gambia,21.9 [15.3-28.8],35.9 [29.3-43.0]
Georgia,52.6 [44.5-60.9],53.4 [45.5-61.4]
Germany,64.0 [58.0-69.4],48.6 [42.6-54.5]
Ghana,21.9 [16.0-28.4],42.6 [35.9-49.2]
Greece,66.7 [60.2-72.9],55.2 [48.2-62.3]
Grenada,47.5 [39.5-55.7],61.7 [53.9-69.3]
Guatemala,48.1 [40.4-55.7],57.5 [50.6-64.5]
Guinea,16.4 [11.9-21.8],31.5 [25.9-37.6]
Guinea-Bissau,17.4 [12.3-23.1],31.7 [25.4-38.3]
Guyana,42.7 [34.3-51.4],60.9 [52.8-68.7]
Haiti,30.9 [22.9-39.5],45.3 [37.1-53.7]
Honduras,47.0 [39.3-55.0],56.1 [49.2-63.1]
Hungary,67.1 [60.6-73.2],48.5 [41.0-55.9]
Iceland,64.9 [58.1-71.3],48.9 [41.8-56.1]
India,16.4 [12.4-21.3],21.7 [17.5-26.4]
Indonesia,19.7 [14.7-25.4],28.3 [22.9-34.2]
Iran (Islamic Republic of),56.5 [50.9-62.3],64.2 [58.7-69.4]
Iraq,53.7 [46.9-60.6],63.7 [57.1-70.0]
Ireland,67.0 [60.6-72.9],55.0 [48.4-61.5]
Israel,68.4 [62.0-74.3],58.2 [50.8-65.2]
Italy,65.7 [59.8-71.5],53.2 [46.8-59.8]
Jamaica,48.3 [41.0-55.4],63.4 [56.5-69.9]
Japan,28.8 [23.8-34.4],18.8 [14.8-23.0]
Jordan,62.5 [55.8-68.8],70.1 [64.4-75.3]
Kazakhstan,59.9 [51.3-68.2],55.5 [47.0-63.9]
Kenya,17.1 [11.9-23.6],34.0 [27.6-41.0]
Kiribati,69.0 [60.5-76.3],78.3 [71.9-84.0]
Kuwait,72.7 [67.1-78.0],73.8 [68.5-78.8]
Kyrgyzstan,45.2 [36.8-53.7],47.9 [40.1-55.7]
Lao People's Democratic Republic,14.5 [10.2-19.7],22.2 [17.3-27.7]
Latvia,63.3 [56.2-70.1],53.1 [45.2-60.5]
Lebanon,64.3 [57.8-70.4],67.2 [61.0-72.9]
Lesotho,18.9 [13.6-24.6],52.4 [45.1-59.8]
Liberia,17.4 [12.2-23.5],33.3 [27.1-40.1]
Libya,61.9 [55.6-67.9],68.4 [62.7-73.9]
Lithuania,63.7 [56.8-70.3],56.0 [48.6-63.3]
Luxembourg,67.3 [60.5-73.3],48.1 [41.1-54.9]
Madagascar,14.4 [9.8-19.6],27.7 [21.7-34.3]
Malawi,11.6 [7.9-16.4],29.1 [23.2-35.5]
Malaysia,37.5 [30.6-44.5],39.1 [32.6-45.9]
Maldives,28.0 [20.8-36.0],33.9 [27.0-41.5]
Mali,17.5 [12.3-23.6],31.1 [25.2-37.5]
Malta,69.8 [63.0-76.0],58.5 [50.8-65.9]
Marshall Islands,74.4 [66.6-81.2],80.1 [73.7-85.5]
Mauritania,23.2 [17.0-30.3],35.7 [28.7-43.1]
Mauritius,36.5 [28.3-45.1],49.6 [41.4-57.7]
Mexico,63.6 [57.6-69.2],65.2 [59.3-70.7]
Micronesia (Federated States of),69.0 [61.6-75.7],78.0 [72.2-83.2]
Monaco,No data,No data
Mongolia,50.0 [41.9-58.0],48.6 [40.9-56.3]
Montenegro,63.6 [56.4-70.2],47.6 [39.7-55.3]
Morocco,49.7 [42.3-56.9],59.8 [53.0-66.4]
Mozambique,12.0 [7.9-16.9],27.9 [22.2-34.3]
Myanmar,14.6 [10.3-19.9],23.3 [18.3-28.9]
Namibia,26.7 [20.1-33.9],50.5 [43.4-57.7]
Nauru,80.2 [72.9-86.4],83.0 [76.5-88.2]
Nepal,15.5 [10.8-21.0],22.2 [17.1-27.8]
Netherlands,62.6 [56.8-68.2],48.5 [42.3-54.6]
New Zealand,68.8 [63.8-73.4],59.6 [54.6-64.8]
Nicaragua,45.9 [38.1-54.0],57.1 [49.7-63.8]
Niger,11.2 [7.4-15.8],25.7 [20.4-31.7]
Nigeria,23.6 [18.2-29.4],39.6 [33.9-45.3]
Niue,78.6 [72.5-84.0],83.4 [78.3-87.9]
Norway,65.4 [59.3-71.2],52.1 [45.8-58.6]
Oman,60.9 [54.2-67.4],66.0 [59.7-72.0]
Pakistan,21.0 [15.3-27.5],26.0 [20.4-32.0]
Palau,79.6 [73.7-84.7],82.7 [77.4-87.4]
Panama,58.0 [51.0-64.6],63.8 [57.5-70.1]
Papua New Guinea,43.9 [34.5-53.6],55.7 [46.5-65.0]
Paraguay,51.5 [43.8-59.4],51.3 [43.5-58.9]
Peru,52.7 [45.3-60.2],61.5 [55.3-67.5]
Philippines,21.8 [15.8-28.2],26.9 [21.3-32.9]
Poland,65.2 [59.1-71.0],52.1 [45.0-59.0]
Portugal,62.2 [55.6-68.4],49.6 [42.5-56.8]
Qatar,72.2 [65.9-78.0],75.1 [69.3-80.2]
Republic of Korea,37.9 [31.9-43.9],30.2 [24.8-36.2]
Republic of Moldova,48.9 [41.4-56.6],47.1 [39.8-54.5]
Romania,63.9 [57.0-70.6],49.5 [41.8-57.0]
Russian Federation,60.3 [53.7-66.7],54.8 [47.7-61.5]
Rwanda,10.3 [6.6-15.2],27.1 [20.9-33.7]
Saint Kitts and Nevis,52.1 [43.1-61.0],63.8 [55.5-71.7]
Saint Lucia,48.1 [39.2-57.0],60.5 [51.6-68.7]
Saint Vincent and the Grenadines,49.5 [41.6-57.4],59.8 [52.1-67.0]
Samoa,73.4 [66.3-79.7],82.3 [77.0-87.0]
San Marino,No data,No data
Sao Tome and Principe,24.1 [17.7-31.0],40.1 [33.3-47.0]
Saudi Arabia,65.5 [59.2-71.3],70.8 [65.3-75.8]
Senegal,19.5 [14.1-25.4],35.3 [29.1-41.9]
Serbia,59.3 [52.8-65.9],45.6 [38.8-52.3]
Seychelles,41.8 [33.7-50.3],57.3 [49.1-65.0]
Sierra Leone,16.9 [12.3-22.0],33.8 [28.1-40.0]
Singapore,37.9 [32.2-44.0],28.3 [22.9-34.0]
Slovakia,64.5 [57.6-71.0],49.4 [42.0-56.7]
Slovenia,64.1 [56.7-71.2],49.5 [42.0-57.5]
Solomon Islands,38.9 [29.7-48.3],56.2 [47.4-64.7]
Somalia,14.6 [9.2-21.0],25.3 [18.5-32.7]
South Africa,40.2 [33.8-46.7],64.1 [58.5-69.4]
South Sudan,No data,No data
Spain,67.1 [61.1-72.6],54.6 [48.1-61.2]
Sri Lanka,17.3 [12.0-23.7],30.7 [23.7-38.1]
Sudan,No data,No data
Sudan (former),21.5 [15.4-28.6],33.9 [27.1-41.4]
Suriname,52.0 [44.1-59.7],62.6 [55.2-69.7]
Swaziland,25.4 [18.5-33.4],54.5 [46.3-62.6]
Sweden,62.6 [56.7-68.0],48.9 [42.6-55.2]
Switzerland,64.3 [58.2-69.9],47.2 [40.7-53.9]
Syrian Arab Republic,53.3 [46.4-60.3],61.7 [54.9-68.1]
Tajikistan,39.4 [30.7-49.1],46.5 [38.2-55.1]
Thailand,26.0 [20.0-32.7],33.1 [27.1-39.6]
The former Yugoslav republic of Macedonia,60.2 [52.8-67.5],47.2 [39.7-54.8]
Timor-Leste,9.6 [6.3-14.1],17.1 [12.5-22.4]
Togo,15.7 [11.2-21.1],33.6 [27.9-39.6]
Tonga,74.4 [67.4-80.7],82.5 [77.3-87.0]
Trinidad and Tobago,51.2 [39.6-62.4],64.5 [54.0-74.1]
Tunisia,55.1 [48.7-61.6],64.3 [58.0-69.8]
Turkey,63.0 [57.5-68.4],68.4 [63.4-73.2]
Turkmenistan,52.6 [44.5-60.8],53.7 [45.8-61.6]
Tuvalu,72.7 [65.4-79.3],80.0 [74.1-85.1]
Uganda,12.5 [8.2-17.9],28.5 [22.5-34.9]
Ukraine,57.4 [49.7-64.8],51.5 [43.5-59.6]
United Arab Emirates,67.7 [61.5-73.6],72.4 [66.5-77.9]
United Kingdom of Great Britain and Northern Ireland,67.7 [63.3-72.0],58.5 [53.9-63.0]
United Republic of Tanzania,15.2 [11.0-20.2],32.1 [26.6-37.9]
United States of America,72.8 [68.0-77.2],62.9 [57.9-67.8]
Uruguay,62.9 [55.8-69.7],60.6 [53.5-67.7]
Uzbekistan,46.8 [38.2-55.8],50.7 [42.5-59.0]
Vanuatu,47.2 [37.9-56.2],61.0 [52.3-69.2]
Venezuela (Bolivarian Republic of),62.2 [55.6-68.4],63.7 [57.1-69.9]
Viet Nam,15.8 [11.3-21.2],20.7 [15.7-25.8]
Yemen,36.8 [28.8-45.2],49.0 [41.0-56.9]
Zambia,18.5 [13.5-24.6],37.0 [30.7-43.6]
Zimbabwe,19.5 [13.8-25.8],49.6 [42.2-57.1]
